HHAsstWFPRecCashYN1Y,HHAsstWFPRecInKindYN1Y,RespSex,HHHSex,HHHStatus,HHAsstCashDescWho,HHAsstCashDescBest,HHAsstInKindDescWho,HHAsstInKindDescBest,HHNotEntitDescWho
0,1,1,1,300,n/a,n/a,20,0,20
0,0,0,0,200,n/a,n/a,n/a,n/a,n/a
1,0,1,0,200,30,1,n/a,n/a,20
1,1,0,1,300,20,0,20,0,30
1,0,1,0,300,20,1,n/a,n/a,20
1,1,1,1,200,30,0,20,1,20
1,0,0,1,300,20,0,n/a,n/a,10
0,1,0,1,300,n/a,n/a,30,0,20
1,0,1,1,200,20,0,n/a,n/a,20
1,1,1,1,300,20,0,20,1,20
1,1,0,1,200,20,1,20,1,20
1,1,0,0,400,n/a,n/a,n/a,n/a,n/a
1,0,0,1,300,20,0,n/a,n/a,20
1,1,0,1,300,10,1,20,0,20
1,0,1,0,200,20,1,n/a,n/a,20
1,1,1,0,300,30,0,30,1,20
1,1,1,1,300,10,1,20,1,10
0,0,0,0,300,n/a,n/a,n/a,n/a,n/a
0,1,1,0,300,n/a,n/a,20,0,10
1,1,0,1,300,20,1,20,1,10
